Comment,Polarity
Nithiyen daduwam denna desapalakayange varadi nisai tharunayava nomaga yanne...,Positive
maaara yugayak appaaa,Negative
"Oya saukya amithiniyata banina aya hithanna epa oyala hari wadak karanne kiyala mokada e manushshaya puluwan uparimayen me covid walakwanna henata kapa weno, anika meka mulu loketama Balapapu deyak",Positive
Oba thumiyatath corona haduna neda usma ganna baruwa maranaye wedanawa danuna neda ane a nisa wath ape ahinsaka minissu berala denna puluwan thiranayak ganna,Positive
Injection tika deela inda Madam ikmanata,Positive
Danda kovid 19 mathak wela thiyenne.thawa tikak marenakal innane thiyenne.dan adirinithiya newei.sancharana sima.vikara,Negative
Mayala horakan karapuwa ganan haduwath hodai,Positive
Me rata wetanna artikyak tiyenawada it'a wada watinna nadda minis givitha buruwo,Negative
"Davas 4 kin leddu kotcharak Adu unada, deaths keeyak adu unada. Rate minissu kotcahara beragaththada. Oyata koti 6000 I da Loku.",Positive
Corona honda karanna mara beheth lankaweth hoyaganne.. aluth parawal... jim... highway... lankawata aduma dewal...,Negative
agaya kalayuththe mewani ayai,Positive
Paw ahinsaka minissu,Positive
Neetiyak nathi ratak,Negative
Ane manda kohoma hari ape rate minisunta hodak wennai one,Positive
Muthu ataya kawa rajapakshala,Negative
Badunum thiyena Salle thamai nathe,Negative
Podi kale idan galleface giye mate asawen Dan dakinakotath appiriyai,Negative
Konda pana na rajaye niladaringe mooda desapalakayanta oluva namane natuva hari teeranaya ganne na,Negative
Aa ayath beheth widdanm hodayi,Positive
E minissunta parliment eke inna harakta wada wadi salary ekak denna ona.eth e ayata kohenda ehema salakili,Negative
Kohomada gamma,Positive
Hamotama Budu Saranai,Positive
ledun nethi wewa Hemoma suwapath wewa,Positive
mulimma parlimentuwen patanganda ratata adarsayak vidihata,Positive
jarawa kanna purudu eka kohomahari ekata parakapa gannawa ekai attha,Negative
Honda wadak.mage subha pathum,Positive
Lokka mehe corona minissu marenawa akata monawa hare karanawaaa pissu wekara donawanne nathiwa.,Negative
Moka awath me rata aye godadanna baha. Mun me rata winasakarala,Negative
paksha bedayaking thorawa age karapalla mewa,Positive
Athamy. unge pokat purawa gannawa bora diye malu banawa.,Negative
E satanath dinum janathawa arakshithawa sitiyanam,Positive
Mu kohomath redi hodana akane Kate kayya vitarai,Negative
Meya comis hoyanawa.,Negative
Jaya niyathai janapathiduni.,Positive
mun thamaa lankawa nathikale,Negative
Lajja ne okkoma horu Inna parliament eken illa ganin,Negative
Ara corona aramudalatath keliye.ekath rate minisunge sallini.okatath kelie,Negative
Mhipita pahala una deviyek wagei oba thuma.,Positive
Rate jiwath wana minisunge pinata upan minisek,Positive
Loku deyak,Positive
Mu vaga gonak na.,Negative
Mu pattapal boru edabala cineta mulu ratama wikunala tamai mehen chuta wenne,Negative
Anee mariyn oka,Negative
Ratata naya nethi mahathwaru budusaranai,Positive
Oba thumanta dirgausha pathami,Positive
Adambaray apita oba gana,Positive
Mamath haputale vima adambarayak,Positive
E oya muu apiwa rawattanna hadanne,Negative
athi wishishtai sir,Positive
sthuthi sir obata dergayuwewa.budusaranai obata jayakma.wewa,Positive
Kadappu ballo tika hora kala dan minisungen illnva,Negative
Me Peje eke aparada karayo paththatamane katha karanne,Negative
Koi..ara..mahanayakaya...apawath..welada..vira.wansaya..gammanpilaya...vesige..ballo,Negative
Aramudale Salli nethei poddak hoyala beluwanam neda hoda,Negative
Ai yako hamba una salli kawada mun..,Negative
Hora kapu para heththa gewanna ona mewata. essellama un gen ellagaththa nam hodae,Negative
Danna 225 k innawa salli shuwar lankawama aragena indiyaweth bagayak ganna thiyena okun laga,Negative
"Ratay prashna wisandaganna bariwa indagena, anunge prashna wisandanna hadanawa. Mewa thamai lokuma Vihilu.",Negative
Nalin Manjula lankawa puraama kochchara minisu marenawada mewage kiyanne boru. Janathawa lankawe thathwaya danagannawata boru kiyanne,Negative
Meya ena ena hama parak gane katha karanne eya thoththa baba kisima waradak karala nathi ganata! Palimenthuwe nayaya pathrayata payin gahalayi me miniha hamadama wada kale. Kathanayaka thumani warapasada walata muwawela kata matha dodawanna ida denna epa,Negative
Any yako tho dan honda miniha wenna hadanawa. Nodakin,Negative
maruna minissunge watinakama kiyada ganan baluwada. hora perethayo.,Negative
Too kamati unata wadakya api kamati nathnam,Negative
Horu kamathi horunta vitaraei,Negative
"mu janadipathi unoth ratema salli mu gawa thiyei.a tharam amanayek, mahinda gota ta minissu selakuwata me pal horata minissu salakanne ne",Negative
Mu kohomath redi hodana akane  Kate  kayya vitarai,Negative
Midia karayek neda  Daammama  kade yanna  patan  Atan  wage,Negative
Ammmo mun wage gon hatthak parmit ak dila atyawasha ayata yanna danna oni sare thami hodatama karanna yanne mee harakta amatikam deela,Negative
Apith umbala gana dedi awadanayen inne,Negative
Annee oya anaturu agnawana un meke innee anneee gahanakkooo ekapara sunnadduvili wela yannama,Negative
Muta mongalda. Pissek katai pukai wahagena hitapan bun. Ahaka Yana nai redda asse dagannathuwa.,Negative
kaaaana palenna dekak denna one okunta ne sir......,Negative
Ane me ape rate prashna balapalla...ewa balanna kattiya innawa,Negative
"Okata pissu ,molaa kachal wela thiyannaa okagaa",Negative
Meka maha pissuwak ..api kohomada aduraganne..sivil pita awahama..horunta hoda thothennak..minissu amaruwe dana wedak...pissuda manda..,Negative
Lankawe minissune awilla tiyenne anm chine hitapu aya genawe ada a plilattala dennata job na met ape aya newei da a minisun tath marana baya tiyenawa,Positive
Tamanga waga kima etukaranne parissam wanne hamadatama rajaye paline,Positive
Pisso wage hesirenna apa.anduwat benna kiyal lede nawathinne nene.katath nethuwa kiyanawa nam minissuma thamai wihin meka winasa kara gaththe.aken ahinsaka minissu serama amaruwe den.auruddata rata ariyama minissu hesirune nikan jiwitha kalem adum peladum adapu nethi minissu wage.awata hodama udaharana oya loku redi sappu wala dakinna thibbane.minissu dipu nidahasa authu widiyata paavichchi kara.akai une.den boruwata anduwat baninna apa.,Positive
Mun thirisanu wage  ayaale gihin dan aanduwata baninawa munissu maranawa kiyala  indiyawa balapalla ko ayaale giya tharama mahima..,Positive
Bentota Haburugala gàmaka ipida lowak jayagath oba giyada weerawariyak.,Positive
Congratulations madam aadambarai ratata,Positive
Akavath mataka tiyanavan loku deyak,Positive
Oka kohomath minissu maranna haduwe mulinma samaja gatha wela na kiya kiya minissu rattala damma minissuth ohe hitiya mekage kim ahala .,Positive
Oba veni uthum niladaarin melowa herayaama apage awaasanaawai. Obata suba gaman.,Positive
"Adath mathakae!oya hama seduveemakma ape seyaluuma ranaveruvanta sadaa nayagathe ounge jeveth sapvath venna oni, neduk , neroge venna oni   derga ausha labenna oni ape hamoma nedahase husma ganne eyala nesa ethen bs dp hamotama",Positive
Katawa kiyauwama kiyanna wacana naha anna.obalaga kapa kirim ati visistai.,Positive
Godak hoda theeranayak ,Positive
"Salli walata hari nikan hari podi minissunta sewayak venawa meken, echcharai",Positive
Uthum minisek sarath fonseka Viruwanan api obata nayai,Positive
Pin Sidu wena hoda wadak,Positive
Parakku vela hari gaththe hoda theeranyak. Sthuthi.,Positive
Amathithuma oka hemadama karanna gilan rathaye yanne jiwithayath maranayath athara duk vidina manussayek,Positive
Dan wath karoth loku deyak pin sidu vei,Positive
Mole thiyena kathawak ahunamai,Positive
Oba weni minisun ratata wasanaawan,Positive
Mehema ayath ape rate innawa ne great job,Positive
Niyamai! Ape ratata one oya wage minissu thamai. Ethakota kawadahari ape ratatath hoda kaalayak udaa vei.,Positive
Menna niyama minissu. Aadambarai. Hema deshapaalakayama mehema unaanam ada ape rata kochchara hodata thiyevida.,Positive
Oba thumiyage aathma abhimanaya gena ithaama aadmbarai madam,Positive
Oka godak kaleka idan karanna thibunu deyak,Positive
Manussakama thiyena manussayanta kauruthma aadarei. Threuwan saranai.,Positive
Rata rekumata semada negee sitiye obai niriduni.  Deshaye mura dewathawa,Positive
Rata venuwen perata ena obalaata apage gaurawaya,Positive
Eththatama ratata aadaraya karana rata venuwen haa rate janathawa venuwen nirbayawa penee hitina apata sitina apta vishwaasa karanna puluwan ekama naayakaya obai methiduni. Obata jaya wewa.,Positive
Maa methek deshapaalana ithihaasaye dekapu awankawama ratata aadare karana vishishtathama vipakshaya,Positive
Meka nam eththatama hoda wedak,Positive
ikman suwaya lebewa. Obawan manthreewarun apita aadambarayak,Positive
Konda kelin thiyaana weda karana rajapakshalaata hisaradayak una minisa hareen  jayawewa.,Positive
Obathuma wage ratata aadare karana minihek kawadawath dekala ne. hebei chande dunne pohottuwata. Api rewatuna. Mahema venna aapahu ida thiyanna epa newathath obalage aanduwak yatathe,Positive
ObathumA tamai MN wadiyenma kamathi politicians.2024 prasidentionl election ekatA illamu.aniwa Dianna puluwn,Positive
Anna ohoma wedagath vidiyata rate janathawata therum karala denawa nam kochchara hodai. Obathumage aacharya kamatath gaurawayak wagema viya uththeda meyamai,Positive
den nam hoda naayakain inne pirisidu set ekak samagi janabalawegaye,Positive
supiri sir oyala wage mahatturu tama ona karanne..god bls u sir take care,Positive
samagi balawege set eka supiri ugath buddimath neethigya set eka supiri ugath supirima supiri,Positive
konda pana thiyena meweni edithara deshapaalakayo thamai ratata oni,Positive
kathawe eththakuth thyenawa,Positive
Pora talk... korawentama thunna,Positive
Yako mekata gahanna kauruwat ne,Positive
Ugat buddimat sujiwa udinma dinanawa,Positive
Jaya wewa oba thuma wage aya parlimenthuwe sitiya uthui,Positive
Niyamai amathithuma,Positive
eka thamai wenna oni oba thumage idiri anagathetath jyen jaya,Positive
Kawda doctor owa ahanne anduwata tiyenne panatha sammatha karanna idia eka api marunata maha un dennatama rudawak na.,Negative
Yako mowa udathiuwe kauda wipaksa nayakakama deela dan hari jvp akathu Mekata wagakiyanna oni unuth denna kiuwa shinhalayata kelinna,Negative
sajith ge anduwak netuwa mun mehema dagalana wa nan awot kohoma tiyei da,Negative
Wahama athadanguwata ganna parli meynyhuwa thahanam karanna,Negative
Muwa marala danna ona pita karala wadak na ayee enawa ne,Negative
"boru baila hadapu parawal kuburata gasagena awith .beheth ganna ,pohora geenna salli nathirata komis kanna parawal hadanna yanawa .mewa ahapuwama puken hina yanne",Negative
Ow hadana bariya.. Hodata gasakna puluwne neda Coronawali ube palule awnta monawath wene nehne.ahinsaka minisu ne marenne  Ewata wiydm karna salli ne Minisunta ailingn karadara ewata wesdumk ne.parwanme hadai kochra hri,Negative
Mu mata pannana ba rata kana harakek,Negative
horunta raja magul dupathun maree vatei,Negative
Ai mehema kala kanni me rate ipadune. Corona walata wen karapiya. Eka ekagen higa kan nethuwa balloooo,Negative
Corona walininissu hambath wela inne mun pissu wekara dodawanawa idagena.,Negative
Lock down krama dawase padiyata weda karana duppath unta kanda dipalla parawal hadanna kalin,Negative
Kalakani hetta. Tawa horakapiya. Ahinsaka minissu gedara merenawa hospital akak natiwa ,Negative
Lajjay me rata karana politics lokki ko,Negative
Kamaknaha eyalata hadunata ethakota hari podi minissu gana hagimak danevine,Negative
Thopi wage ewn bageta maranne hitapan kata wahagena,Negative
Aniwaryenma karanna oone karala thanathuren ain karala danduwam laba diya uthumai,Negative
Durasta bawa ko ma minisunga jewita eka ma waga selam karana ai palakayo  Ma minisu namida ,Negative
jaya wewaa sir,Positive
ane para ballo thota hena ata wedan koronawa hadila meriyan,Negative
Thawa leda ethine meheta aran enna.okkoma genawata passe okath wahannako ehenam,Negative
Wanna epa eragenama indin. wenade bala gena  eda oya thumanlata polime gihin chande dipu api ADA Covid pokuruth akka polime.. awwa wessa kagena vaccin polime innwa..oba thumanlata deviyoma balai,Negative
Pata pksha peda iwatha daa ekata nagi sitimu,Positive
kada bada thibunata molayak nathi miharak balayata gena eme wipaka,Negative
Mun tika chanden gedara yawala vitharak madi,Negative
Mala peretayo wage sugarath bana un babala wage post danawa kohe hinacwennada manda,Negative
Munwa paarlimenthuwe thiya lankawewath thiyanna hoda na,Negative
Budusaranai devepehetai obasamatama,Positive
